theta0,theta1
8498.937706, -0.021442
8498.944186, -0.021442
8498.950666, -0.021442
8498.957146, -0.021442
8498.963627, -0.021442
8498.970107, -0.021443
8498.976587, -0.021443
8498.983067, -0.021443
8498.989547, -0.021443
8498.996027, -0.021443
8499.002507, -0.021443
8499.008988, -0.021443
8499.015468, -0.021443
8499.021948, -0.021443
8499.028428, -0.021443
8499.034908, -0.021443
8499.041388, -0.021443
8499.045708, -0.021443
8499.052189, -0.021443
8499.058669, -0.021443
8499.062989, -0.021443
8499.067309, -0.021443
8499.071629, -0.021444
8499.075949, -0.021444
8499.080269, -0.021444
8499.084589, -0.021444
8499.088910, -0.021444
8499.093230, -0.021444
8499.097550, -0.021444
8499.101870, -0.021444
8499.106190, -0.021444
8499.110510, -0.021444
8499.114830, -0.021444
8499.119150, -0.021444
8499.123470, -0.021444
8499.127790, -0.021444
8499.132111, -0.021444
8499.136431, -0.021444
8499.140751, -0.021444
8499.145071, -0.021444
8499.149391, -0.021444
8499.153711, -0.021444
8499.158031, -0.021444
8499.162351, -0.021444
8499.166671, -0.021444
8499.170991, -0.021445
8499.175312, -0.021445
8499.179632, -0.021445
8499.183952, -0.021445
8499.188272, -0.021445
8499.192592, -0.021445
8499.196912, -0.021445
8499.201232, -0.021445
8499.205552, -0.021445
8499.209872, -0.021445
8499.214193, -0.021445
8499.218513, -0.021445
8499.222833, -0.021445
8499.227153, -0.021445
8499.231473, -0.021445
8499.235793, -0.021445
8499.240113, -0.021445
8499.244433, -0.021445
8499.248753, -0.021445
8499.253073, -0.021445
8499.257394, -0.021445
8499.261714, -0.021445
8499.266034, -0.021445
8499.270354, -0.021446
8499.274674, -0.021446
8499.278994, -0.021446
8499.283314, -0.021446
8499.287634, -0.021446
8499.291954, -0.021446
8499.296274, -0.021446
8499.298434, -0.021446
8499.302755, -0.021446
8499.304915, -0.021446
8499.307075, -0.021446
8499.309235, -0.021446
8499.311395, -0.021446
8499.313555, -0.021446
8499.315715, -0.021446
8499.317875, -0.021446
8499.320035, -0.021446
8499.322195, -0.021446
8499.324355, -0.021446
8499.326515, -0.021446
8499.328675, -0.021446
8499.330835, -0.021446
8499.332995, -0.021446
8499.335155, -0.021446
8499.337315, -0.021446
8499.339475, -0.021446
8499.341635, -0.021446
8499.343796, -0.021446
8499.345956, -0.021446
8499.348116, -0.021446
8499.350276, -0.021446
8499.352436, -0.021446
8499.354596, -0.021446
8499.356756, -0.021446
8499.358916, -0.021446
8499.361076, -0.021446
8499.363236, -0.021446
8499.365396, -0.021446
8499.367556, -0.021446
8499.369716, -0.021446
8499.371876, -0.021447
8499.374036, -0.021447
8499.376196, -0.021447
8499.378356, -0.021447
8499.380516, -0.021447
8499.382676, -0.021447
8499.384836, -0.021447
8499.386997, -0.021447
8499.389157, -0.021447
8499.391317, -0.021447
8499.393477, -0.021447
8499.395637, -0.021447
8499.397797, -0.021447
8499.399957, -0.021447
8499.402117, -0.021447
8499.404277, -0.021447
8499.406437, -0.021447
8499.408597, -0.021447
8499.410757, -0.021447
8499.412917, -0.021447
8499.415077, -0.021447
8499.417237, -0.021447
8499.419397, -0.021447
8499.421557, -0.021447
8499.423717, -0.021447
8499.425877, -0.021447
8499.428037, -0.021447
8499.430198, -0.021447
8499.432358, -0.021447
8499.434518, -0.021447
8499.436678, -0.021447
8499.438838, -0.021447
8499.440998, -0.021447
8499.443158, -0.021447
8499.445318, -0.021447
8499.447478, -0.021447
8499.449638, -0.021447
8499.451798, -0.021447
8499.453958, -0.021447
8499.456118, -0.021447
8499.458278, -0.021447
8499.460438, -0.021447
8499.462598, -0.021447
8499.464758, -0.021447
8499.466918, -0.021447
8499.469078, -0.021447
8499.471238, -0.021447
8499.473399, -0.021448
8499.475559, -0.021448
8499.477719, -0.021448
8499.479879, -0.021448
8499.482039, -0.021448
8499.484199, -0.021448
8499.486359, -0.021448
8499.488519, -0.021448
8499.490679, -0.021448
8499.490679, -0.021448
8499.490679, -0.021448
8499.490679, -0.021448
8499.490679, -0.021448
8499.490679, -0.021448
8499.490679, -0.021448
8499.490679, -0.021448
8499.490679, -0.021448
8499.490679, -0.021448
8499.490679, -0.021448
