theta0,theta1
0.939270, -1.003446
0.939270, -1.003447
0.939271, -1.003448
0.939271, -1.003449
0.939271, -1.003450
0.939272, -1.003451
0.939272, -1.003452
0.939272, -1.003453
0.939273, -1.003454
0.939273, -1.003455
0.939273, -1.003456
0.939274, -1.003457
0.939274, -1.003458
0.939275, -1.003459
0.939275, -1.003460
0.939275, -1.003461
0.939276, -1.003462
0.939276, -1.003463
0.939276, -1.003464
0.939277, -1.003465
0.939277, -1.003466
0.939277, -1.003467
0.939278, -1.003468
0.939278, -1.003469
0.939278, -1.003470
0.939279, -1.003471
0.939279, -1.003472
0.939280, -1.003473
0.939280, -1.003474
0.939280, -1.003475
0.939281, -1.003476
0.939281, -1.003477
0.939281, -1.003478
0.939282, -1.003479
0.939282, -1.003480
0.939282, -1.003481
0.939283, -1.003482
0.939283, -1.003483
0.939284, -1.003484
0.939284, -1.003485
0.939284, -1.003486
0.939285, -1.003487
0.939285, -1.003488
0.939285, -1.003489
0.939286, -1.003490
0.939286, -1.003491
0.939286, -1.003492
0.939287, -1.003493
0.939287, -1.003494
0.939287, -1.003495
0.939288, -1.003496
0.939288, -1.003497
0.939289, -1.003498
0.939289, -1.003499
0.939289, -1.003500
0.939290, -1.003501
0.939290, -1.003502
0.939290, -1.003503
0.939291, -1.003504
0.939291, -1.003505
0.939291, -1.003506
0.939292, -1.003507
0.939292, -1.003508
0.939293, -1.003509
0.939293, -1.003510
0.939293, -1.003511
0.939294, -1.003512
0.939294, -1.003513
0.939294, -1.003514
0.939295, -1.003515
0.939295, -1.003516
0.939295, -1.003516
0.939295, -1.003516
0.939295, -1.003516
0.939295, -1.003516
0.939295, -1.003516
0.939295, -1.003516
0.939295, -1.003516
0.939295, -1.003516
0.939295, -1.003516
0.939295, -1.003516
